Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Yonathan Daza","COL",86,214,193,53,44,7,1,1,14,20,14,0,37,2,1,4,4,1,1,0.2746114,15794
2021,"Luis Torrens","SEA",88,227,204,45,31,7,1,6,19,24,20,0,65,1,2,0,6,0,0,0.22058824,15905
2021,"Aledmys Diaz","HOU",76,209,192,49,35,10,0,4,15,25,9,2,43,8,0,0,5,0,0,0.25520833,15937
2021,"Clint Frazier","NYY",58,136,114,21,9,8,0,4,15,12,19,0,38,3,0,0,5,0,0,0.18421053,15983
2021,"Willy Adames","2 Tms",128,387,348,95,53,24,1,17,56,55,38,0,104,0,1,0,8,4,1,0.27298851,15986
2021,"Cody Bellinger","LAD",85,254,229,42,23,9,1,9,31,32,21,2,74,1,3,0,1,3,1,0.18340611,15998
2021,"J.D. Davis","NYM",59,146,125,38,24,10,0,4,13,17,14,0,45,6,1,0,4,1,0,0.304,16219
2021,"Bradley Zimmer","CLE",94,260,223,52,36,8,1,7,37,30,23,0,92,12,2,0,2,14,3,0.23318386,16221
2021,"Trea Turner","2 Tms",144,479,442,135,95,22,1,17,71,45,30,1,91,4,3,0,13,28,3,0.30542986,16252
2021,"Nick Gordon","MIN",63,169,155,37,23,9,1,4,16,19,11,0,42,2,1,0,4,9,1,0.23870968,16337
2021,"Oscar Mercado","CLE",58,140,129,23,13,5,1,4,17,13,10,0,28,1,0,0,0,4,0,0.17829457,16375
2021,"Michael Conforto","NYM",115,333,284,69,38,18,0,13,37,46,40,3,67,7,2,0,5,1,0,0.24295775,16376
2021,"Francisco Mejia","TBR",70,162,145,36,20,10,3,3,17,25,7,0,27,7,2,1,1,0,0,0.24827586,16403
2021,"Sergio Alcantara","CHC",75,174,151,35,23,5,2,5,26,14,21,1,55,1,0,1,0,2,0,0.23178808,16417
2021,"Ryan O'Hearn","KCR",82,220,205,48,33,5,1,9,21,28,11,0,61,1,3,0,7,0,0,0.23414634,16442
2021,"Rhys Hoskins","PHI",98,293,261,64,29,18,0,17,44,47,29,0,74,1,2,0,3,1,0,0.24521073,16472
2021,"Kyle Schwarber","2 Tms",106,322,276,73,30,15,0,28,59,60,43,1,84,2,1,0,2,1,1,0.26449275,16478
2021,"Matt Chapman","OAK",140,414,349,70,43,12,2,13,44,42,55,0,136,4,6,0,3,0,2,0.20057307,16505
2021,"Isiah Kiner-Falefa","TEX",149,463,433,125,100,16,3,6,54,41,21,1,63,7,1,1,8,19,4,0.2886836,16512
2021,"Danny Jansen","TOR",53,137,124,32,13,11,0,8,23,22,11,0,28,1,0,1,3,0,0,0.25806452,16535
2021,"Ozzie Albies","ATL",151,511,465,110,57,26,6,21,76,73,39,2,104,2,5,0,3,15,1,0.23655914,16556
2021,"Connor Joe","COL",56,152,130,36,23,9,0,4,13,23,19,0,32,2,1,0,0,0,0,0.27692308,16572
2021,"Yandy Diaz","TBR",124,323,274,64,48,8,1,7,38,39,44,1,52,3,2,0,5,1,1,0.23357664,16578
2021,"Luis Urias","MIL",140,435,375,94,57,20,1,16,55,57,49,3,93,8,1,0,7,4,0,0.25066667,16622
2021,"Jose Trevino","TEX",77,206,195,51,38,8,0,5,11,27,8,1,45,0,3,0,6,0,1,0.26153846,16725
2021,"Joshua Fuentes","COL",83,193,187,41,31,5,0,5,20,21,5,0,44,0,1,0,4,0,0,0.21925134,16885
2021,"Colin Moran","PIT",92,264,236,68,50,10,0,8,24,41,25,0,64,0,3,0,2,1,0,0.28813559,16909
2021,"Jonah Heim","TEX",72,204,190,33,19,7,0,7,17,19,12,0,39,1,1,0,5,3,1,0.17368421,16930
2021,"Lane Thomas","2 Tms",65,186,163,29,15,8,0,6,17,20,22,0,49,0,1,0,4,5,1,0.17791411,16939
2021,"Gleyber Torres","NYY",123,358,319,78,58,16,0,4,33,36,36,0,76,0,3,0,9,8,4,0.24451411,16997
2021,"Edmundo Sosa","STL",100,247,219,63,51,6,1,5,32,18,13,2,50,12,1,1,7,4,3,0.28767123,17022
2021,"Magneuris Sierra","MIA",94,176,160,36,29,6,1,0,19,4,15,4,39,0,0,1,1,10,0,0.225,17023
2021,"Alex Verdugo","BOS",132,402,355,114,74,27,2,11,66,51,42,6,61,2,4,0,5,6,2,0.32112676,17027
2021,"Ramon Laureano","OAK",81,249,226,49,25,12,1,11,28,28,16,0,74,6,1,0,1,7,2,0.21681416,17128
2021,"Yoan Moncada","CHW",138,462,385,103,65,25,1,12,57,51,71,1,106,4,2,0,6,2,2,0.26753247,17232
2021,"Jorge Mateo","2 Tms",69,134,123,30,20,7,0,3,12,8,6,0,33,4,1,0,0,6,0,0.24390244,17273
2021,"Bobby Bradley","CLE",70,201,177,40,22,7,0,11,27,29,18,1,68,3,3,0,3,0,0,0.2259887,17278
2021,"Willi Castro","DET",116,314,285,55,35,7,5,8,39,23,18,1,87,7,2,2,2,8,3,0.19298246,17338
2021,"Rafael Devers","BOS",147,412,364,102,43,26,1,32,73,85,42,7,102,3,3,0,8,4,3,0.28021978,17350
