Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Bradley Zimmer","CLE",51,88,76,16,14,1,0,1,7,5,7,0,30,3,2,0,1,1,0,0.21052632,16221
2021,"Trea Turner","2 Tms",80,167,153,60,35,12,2,11,36,32,11,1,19,2,1,0,5,4,2,0.39215686,16252
2021,"Oscar Mercado","CLE",50,98,85,25,17,6,0,2,10,6,11,0,14,1,0,1,1,3,1,0.29411765,16375
2021,"Michael Conforto","NYM",83,146,122,25,22,2,0,1,15,9,19,0,37,5,0,0,9,0,0,0.20491803,16376
2021,"Francisco Mejia","TBR",52,115,105,29,21,5,0,3,14,10,10,0,22,0,0,0,3,0,0,0.27619048,16403
2021,"Sergio Alcantara","CHC",45,81,69,10,8,1,1,0,4,3,9,1,19,1,2,0,3,1,0,0.14492754,16417
2021,"Jordan Luplow","2 Tms",43,109,90,15,6,4,0,5,9,10,19,0,33,0,0,0,1,0,2,0.16666667,16424
2021,"Thairo Estrada","SFG",28,60,55,13,9,2,0,2,8,9,5,1,10,0,0,0,1,0,0,0.23636364,16426
2021,"Christian Arroyo","BOS",36,74,70,23,15,5,0,3,11,10,2,0,17,1,0,0,0,0,0,0.32857143,16434
2021,"Rhys Hoskins","PHI",67,150,128,32,11,11,0,10,20,24,18,0,34,4,0,0,4,2,2,0.25,16472
2021,"Kyle Schwarber","2 Tms",72,149,123,33,25,4,0,4,17,11,21,0,43,4,1,0,2,0,0,0.26829268,16478
2021,"Matt Chapman","OAK",90,208,180,41,23,3,1,14,31,30,25,0,66,0,3,0,3,3,0,0.22777778,16505
2021,"Isiah Kiner-Falefa","TEX",92,214,202,47,36,9,0,2,20,12,7,1,27,4,1,0,3,1,1,0.23267327,16512
2021,"Mauricio Dubon","SFG",38,73,68,17,11,3,0,3,7,8,5,2,11,0,0,0,2,0,0,0.25,16530
2021,"Danny Jansen","TOR",42,68,60,9,4,2,0,3,9,6,6,0,16,2,0,0,1,0,0,0.15,16535
2021,"Ozzie Albies","ATL",83,175,164,53,29,14,1,9,27,33,8,0,24,1,2,0,1,5,3,0.32317073,16556
2021,"Yandy Diaz","TBR",95,218,191,55,37,12,0,6,24,25,25,3,33,0,2,0,6,0,0,0.28795812,16578
2021,"Luis Urias","MIL",78,135,115,28,16,5,0,7,22,18,14,0,23,2,2,1,2,1,1,0.24347826,16622
2021,"Jose Trevino","TEX",49,96,90,17,11,6,0,0,12,3,4,0,12,0,0,2,7,1,0,0.18888889,16725
2021,"Joshua Fuentes","COL",44,91,84,20,11,6,1,2,10,12,7,1,21,0,0,0,1,0,0,0.23809524,16885
2021,"Colin Moran","PIT",59,95,82,14,10,2,0,2,5,9,11,0,23,2,0,0,4,0,0,0.17073171,16909
2021,"Jonah Heim","TEX",45,81,75,19,10,6,0,3,5,13,3,0,19,0,2,1,3,0,0,0.25333333,16930
2021,"Lane Thomas","2 Tms",38,78,63,24,14,7,2,1,18,8,15,1,14,0,0,0,2,1,2,0.38095238,16939
2021,"Derek Hill","DET",29,63,61,19,14,2,2,1,8,5,2,0,15,0,0,0,1,2,2,0.31147541,16947
2021,"Gleyber Torres","NYY",74,158,140,41,30,6,0,5,17,15,14,1,28,1,1,2,3,6,2,0.29285714,16997
2021,"Edmundo Sosa","STL",46,79,69,15,9,2,3,1,7,9,4,0,13,5,1,0,1,0,1,0.2173913,17022
2021,"Alex Verdugo","BOS",90,201,189,43,36,5,0,2,22,12,9,0,35,2,1,0,6,0,0,0.22751323,17027
2021,"Ramon Laureano","OAK",53,129,115,35,22,9,1,3,15,11,11,0,24,3,0,0,3,5,3,0.30434783,17128
2021,"Yoan Moncada","CHW",76,154,135,34,24,8,0,2,17,10,13,0,51,6,0,0,0,1,0,0.25185185,17232
